training_method_id,exercise_id
1,8
1,9
1,11
1,12
1,13
1,14
1,17
1,24
1,25
2,8
2,9
2,10
2,11
2,14
2,17
2,24
2,25
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,23
3,24
3,25
3,26
4,12
4,18
4,19
4,20
4,21
4,24
5,12
5,18
5,19
5,20
5,21
5,24
6,12
6,18
6,19
6,20
6,21
6,24
7,12
7,18
7,19
7,20
7,21
7,24
8,12
8,18
8,19
8,20
8,21
8,24
9,8
9,9
9,11
9,12
9,13
9,14
9,17
9,24
9,25
9,18
9,19
9,20
9,21
10,8
10,9
10,11
10,12
10,13
10,14
10,17
10,24
10,25
10,18
10,19
10,20
10,21
11,8
11,9
11,11
11,12
11,13
11,14
11,17
11,24
11,25
11,18
11,19
11,20
11,21
12,8
12,9
12,11
12,12
12,13
12,14
12,17
12,24
12,25
12,18
12,19
12,20
12,21
13,8
13,9
13,11
13,12
13,13
13,14
13,17
13,24
13,25
13,18
13,19
13,20
13,21
14,12
14,18
14,19
14,20
14,21
15,2
15,3
15,5
16,12
16,18
16,19
16,20
16,21
17,12
17,18
17,19
17,20
17,21
18,12
18,18
18,19
18,20
18,21
19,12
19,18
19,19
19,20
19,21
19,8
19,11
19,17
19,24
20,17
22,12
22,18
22,19
22,20
22,21
22,8
22,11
23,18
23,19
23,20
23,21
23,8
23,11
24,18
24,19
24,20
24,21
24,8
24,11
25,18
25,19
25,20
25,21
25,8
25,11
26,18
26,19
26,20
26,21
26,8
26,11
27,18
27,19
27,20
27,21
27,8
27,11
28,1
28,3
28,4
28,26
28,6
29,1
29,7
29,26
29,4
29,5
29,6
30,1
30,7
30,26
30,4
30,5
30,6
31,1
31,7
31,26
31,4
31,5
31,6
32,1
32,7
32,26
32,4
32,5
32,6
33,1
33,7
33,26
33,4
33,5
34,1
34,7
34,8
34,9
34,10
34,11
34,12
34,13
34,14
34,15
34,16
34,17
34,23
34,24
34,25
34,26
35,16
35,2
35,7
35,17
35,15
35,23
36,2
36,7
36,17
36,15
36,23
37,2
37,7
37,17
37,15
37,23
38,2
38,7
38,17
38,15
38,23
39,12
39,18
39,19
39,20
39,21
39,8
39,11
39,17
39,24
